id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
310001,3333333,0.0,3.394112551053695,2.8284271247461903
200001,111111,4.0,55.0,3.2015621187164243
100001,154,0.0,59.52492236110959,2.23606797749979
100002,83,3.0,85.8466769354236,9.433981132056605
200002,111111,0.0,95.0,7.211102550927979
100003,209,2.0,102.6837490879916,6.4031242374328485
200003,111111,0.0,110.8674981759832,6.4031242374328485
100004,53,3.0,121.47922263652436,8.602325267042627
100006,52,4.0,123.1792226370053,1.0
200004,111111,1.0,135.0,9.433981132056605
200006,111111,0.0,140.0,0.0
200007,111111,1.0,175.0,0.0
100007,104,0.0,188.6041978059466,7.280109889280518
200009,111111,1.0,220.0,7.280109889280518
100009,218,0.0,230.99571341491983,5.830951894845301
100010,23,1.0,295.36107226930835,12.0
200010,111111,0.0,305.0,7.615773105863909
100011,261,2.0,383.43654664682253,9.219544457292889
200011,111111,0.0,395.0,9.219544457292889
100012,218,1.0,627.5028577233861,5.830951894845301
200012,111111,0.0,635.0,5.830951894845301
200013,111111,4.0,675.0,0.0
100013,137,0.0,684.5000000036,5.0
100014,123,4.0,778.3811765812425,1.0
200014,111111,0.0,785.0,5.099019513592785
100016,86,2.0,795.2528044984829,8.544003745317532
100015,126,4.0,806.8167184259255,6.324555320336759
200015,111111,2.0,810.0,2.23606797749979
200016,111111,0.0,810.0,0.0
200017,111111,2.0,855.0,0.0
200018,111111,6.0,855.5,0.0
100017,143,4.0,860.8000000019201,4.0
100018,280,0.0,871.5331262982108,8.94427190999916
310004,3333333,0.0,881.3004186597791,8.139410298049853
200019,111111,2.0,895.0,3.2015621187164243
100019,229,0.0,912.4811660444943,9.433981132056605
100020,223,1.0,988.0378022288533,6.0
200020,111111,0.0,995.0,5.385164807134505
310005,3333333,0.0,998.8418745439958,3.2015621187164243
999999,999999,0.0,21065.0,2.8284271247461903
