id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
200001,111111,4.0,55.0,6.020797289396148
100001,207,0.0,61.50000000240213,5.0
200002,111111,1.0,84.61714714646429,5.0
100002,111,0.0,87.51714714742077,2.0
100006,6,4.0,105.56699186964521,6.708203932499369
100005,124,6.0,114.55227324727971,7.071067811865475
200005,111111,4.0,120.0,4.123105625617661
200006,111111,0.0,120.0,0.0
200010,111111,1.0,204.13250182401993,0.0
100010,56,0.0,212.3162509120101,6.4031242374328485
200012,111111,3.0,220.0,6.4031242374328485
100012,121,0.0,228.9852813776358,7.071067811865475
200015,111111,2.0,265.0,7.071067811865475
100015,216,0.0,273.9852813776358,7.071067811865475
100021,220,2.0,328.38117658124384,4.0
200021,111111,0.0,335.0,5.099019513592785
200025,111111,1.0,595.0,0.0
100025,123,0.0,601.6188234187562,5.099019513592785
100036,114,3.0,720.1733384677146,8.06225774829855
200036,111111,0.0,725.0,3.6055512754639896
200040,111111,2.0,750.0,0.0
100040,89,0.0,757.4971422766146,5.830951894845301
100047,54,4.0,835.1277003851662,2.23606797749979
200047,111111,0.0,845.0,7.810249675906654
200049,111111,2.0,1005.0,0.0
100049,42,0.0,1012.7993150392776,6.082762530298219
999999,999999,0.0,21065.0,11.412712210513327
