id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
310001,3333333,1.0,51.1581254560042,2.8284271247461903
200001,111111,5.0,55.0,3.2015621187164243
100001,117,1.0,66.88419958115985,6.324555320336759
100006,192,4.0,129.00428658508017,5.099019513592785
200006,111111,1.0,140.0,5.830951894845301
200010,111111,3.0,180.0,0.0
100010,44,1.0,187.7993150392776,6.082762530298219
100012,26,3.0,189.49637131480446,1.4142135623730951
200012,111111,1.0,200.0,7.0
200011,111111,2.0,200.0,0.0
100011,213,1.0,211.82077736299317,9.433981132056605
100016,55,2.0,326.0147186223642,10.440306508910549
200016,111111,1.0,335.0,7.071067811865475
200018,111111,2.0,465.0,0.0
100018,68,1.0,476.82077736299624,9.433981132056605
100020,113,5.0,571.1058874489457,6.708203932499369
200020,111111,1.0,575.0,2.8284271247461903
200021,111111,4.0,720.0,0.0
100021,219,1.0,726.9621977711463,5.385164807134505
100023,115,5.0,749.1334368518554,9.219544457292889
200023,111111,1.0,755.0,4.47213595499958
200022,111111,3.0,755.0,0.0
100022,235,1.0,763.5498447222205,6.708203932499369
100024,113,0.0,783.8941125510537,9.433981132056605
200024,111111,1.0,790.0,2.8284271247461903
200025,111111,3.0,805.0,0.0
100025,217,1.0,813.1837490879902,6.4031242374328485
200026,111111,4.0,835.0,6.4031242374328485
100026,70,1.0,845.174709301827,8.06225774829855
100030,52,3.0,1053.1792226370037,1.4142135623730951
200030,111111,1.0,1065.0,9.433981132056605
999999,999999,-0.0,21065.0,6.020797289396148
