id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
100002,157,3.0,59.55227324727821,3.0413812651491097
200002,111111,0.0,65.0,4.123105625617661
200003,111111,3.0,105.0,0.0
100003,247,0.0,124.63426247057608,10.630145812734648
100011,180,1.0,190.36107226930835,4.123105625617661
200011,111111,0.0,200.0,7.615773105863909
200010,111111,3.0,210.0,0.0
100010,240,0.0,221.88419958115983,6.324555320336759
100017,166,4.0,509.13343685185464,7.211102550927979
200017,111111,0.0,515.0,4.47213595499958
100020,164,2.0,566.9105336125613,6.324555320336759
200020,111111,0.0,575.0,6.324555320336759
200022,111111,3.0,675.0,0.0
100022,82,0.0,683.1837490879916,6.4031242374328485
100023,173,1.0,690.7732154754303,6.324555320336759
200023,111111,0.0,695.5998770077167,3.6055512754639896
100026,275,1.0,724.2471955015171,8.544003745317532
200026,111111,0.0,735.0,8.544003745317532
200028,111111,4.0,765.0,0.0
200030,111111,5.0,765.5,0.0
100028,97,1.0,771.0911688265805,4.242640687119285
100030,30,0.0,780.5120639527422,4.123105625617661
100037,119,2.0,864.60454649456,6.4031242374328485
200037,111111,0.0,875.0,8.246211251235321
200036,111111,2.0,885.0,0.0
100036,7,0.0,900.3431802581608,8.246211251235321
100038,88,4.0,926.4501552777801,6.4031242374328485
200038,111111,0.0,935.0,6.708203932499369
200039,111111,1.0,1005.0,0.0
100039,46,0.0,1017.5747670833288,6.708203932499369
100040,51,1.0,1042.4999999952015,5.0
200040,111111,0.0,1055.0,10.0
999999,999999,0.0,21065.0,6.020797289396148
