id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
200001,111111,4.0,45.0,6.020797289396148
100001,117,0.0,56.88419958115985,6.324555320336759
100006,192,3.0,132.50285772338611,5.099019513592785
200006,111111,0.0,140.0,5.830951894845301
200013,111111,3.0,225.0,0.0
100013,271,0.0,240.0120639527422,8.06225774829855
100015,250,1.0,264.1772096754212,4.123105625617661
200015,111111,0.0,275.0,8.602325267042627
100019,63,3.0,447.5028577233861,5.830951894845301
200019,111111,0.0,455.0,5.830951894845301
200017,111111,3.0,465.0,0.0
100017,277,0.0,482.48116604449433,9.433981132056605
100027,243,1.0,865.1277003851646,2.0
200027,111111,0.0,875.0,7.810249675906654
200029,111111,2.0,945.0,0.0
100029,274,0.0,960.3431802581608,8.246211251235321
999999,999999,0.0,21065.0,4.7169905660283025
