id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
100001,46,4.0,112.42523291667123,10.11187420807834
200001,111111,0.0,125.0,6.708203932499369
200002,111111,2.0,150.0,0.0
100002,223,0.0,156.9621977711472,5.385164807134505
200003,111111,3.0,165.0,5.385164807134505
100003,88,0.0,173.54984472222054,6.708203932499369
200004,111111,3.0,190.0,6.708203932499369
100004,148,0.0,200.17470930182694,8.06225774829855
200005,111111,4.0,215.6733384677156,8.06225774829855
100005,47,0.0,229.1533230645779,7.211102550927979
100006,169,4.0,251.81671842592695,9.433981132056605
200006,111111,0.0,255.0,2.23606797749979
200007,111111,3.0,325.0,0.0
100007,74,0.0,334.5000000036,5.0
100012,24,2.0,651.3958021940534,3.1622776601683795
200012,111111,0.0,665.0,7.280109889280518
200013,111111,4.0,720.0,0.0
100013,65,0.0,728.9852813776326,7.071067811865475
200015,111111,4.0,745.0,7.071067811865475
100015,43,0.0,752.7000000028768,6.0
100019,22,3.0,784.8252906981719,4.123105625617661
200019,111111,0.0,795.0,8.06225774829855
999999,999999,0.0,21065.0,6.020797289396148
