id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
310001,3333333,3.0,3.394112551053695,2.8284271247461903
100001,52,6.0,108.17922263700376,12.619429464123963
200001,111111,3.0,120.0,9.433981132056605
200002,111111,5.0,150.0,0.0
100002,68,3.0,161.82077736299624,9.433981132056605
100006,47,4.0,166.7685041157181,4.123105625617661
200006,111111,3.0,176.6058874489463,7.211102550927979
200016,111111,6.0,415.0,0.0
100016,27,3.0,423.9852813776358,7.071067811865475
100020,42,5.0,637.2006849607224,2.23606797749979
200020,111111,3.0,645.0,6.082762530298219
200022,111111,6.0,705.0,0.0
100022,146,3.0,713.90000000336,7.0
100026,128,0.0,859.2947331937199,4.123105625617661
200026,111111,3.0,865.0,3.1622776601683795
200029,111111,5.0,945.0,0.0
100029,24,3.0,954.2361318706311,7.280109889280518
200030,111111,7.0,1065.0,7.280109889280518
100030,38,3.0,1074.872299614837,7.810249675906654
999999,999999,0.0,21065.0,13.793114224133722
