id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
200002,111111,2.0,150.0,6.020797289396148
100002,223,0.0,160.19329665671944,5.385164807134505
200005,111111,4.0,210.0,5.385164807134505
100005,47,0.0,223.47998459686235,7.211102550927979
100009,193,1.0,386.45015527778014,9.219544457292889
200009,111111,0.0,395.0,6.708203932499369
200008,111111,1.0,405.0,0.0
100008,184,0.0,413.1367532398694,4.242640687119285
100011,126,4.0,511.8167184259255,4.123105625617661
200011,111111,0.0,515.0,2.23606797749979
200010,111111,2.0,525.0,0.0
100010,210,0.0,534.1533230645764,7.211102550927979
310001,3333333,0.0,538.9906777154902,4.031128874149275
200013,111111,4.0,720.0,3.2015621187164243
100013,65,0.0,728.9852813776342,7.071067811865475
200015,111111,4.0,745.0,7.071067811865475
100015,43,0.0,756.30000000432,6.0
100019,22,3.0,774.8252906981725,4.123105625617661
200019,111111,0.0,785.0,8.06225774829855
200017,111111,1.0,790.0,0.0
100017,151,0.0,799.6782351281383,5.099019513592785
100020,124,2.0,989.5522732472782,2.23606797749979
200020,111111,0.0,995.0,4.123105625617661
999999,999999,0.0,21065.0,6.020797289396148
