id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
200002,111111,1.0,55.0,6.020797289396148
100002,181,0.0,67.57476708332877,6.708203932499369
200006,111111,3.0,135.0,6.708203932499369
100006,176,0.0,143.0894663874399,6.324555320336759
100008,117,1.0,171.9105336125601,4.0
200008,111111,0.0,180.0,6.324555320336759
200012,111111,4.0,286.1063291471161,0.0
100012,103,0.0,296.50178265255556,8.246211251235321
100015,220,4.0,308.3811765812411,9.899494936611665
200015,111111,0.0,315.0,5.099019513592785
200018,111111,3.0,415.0,0.0
100018,243,0.0,429.55844942225536,7.810249675906654
100021,278,1.0,502.61766234637,2.23606797749979
100020,170,4.0,514.5,8.48528137423857
200020,111111,1.0,518.6000000014503,2.0
200021,111111,0.0,521.11766235357,0.0
100024,63,1.0,624.0042865850802,5.830951894845301
200024,111111,0.0,635.0,5.830951894845301
200025,111111,4.0,705.0,0.0
200027,111111,8.0,705.5,0.0
100027,202,4.0,711.3665631481447,4.47213595499958
100025,164,0.0,716.7331262962883,4.47213595499958
100033,86,4.0,723.1953240674356,5.385164807134505
200033,111111,0.0,735.0,8.544003745317532
200031,111111,4.0,745.0,0.0
100031,55,0.0,758.227922066449,7.071067811865475
200040,111111,2.0,1015.0,7.071067811865475
100040,66,0.0,1029.5584494222553,7.810249675906654
999999,999999,0.0,21065.0,9.12414379544733
